Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India, World,Import,  All Products,Import (US$ Thousand),50010898.627,52940251.405,50671105.81,57453468.557,72430524.382,98981129.472,140861666.918,178212440.308,218645293.931,315712105.614,266401552.908,350029386.927,462402790.771,488976378.496,466045567.333,459369463.603,390744731.405,356704792.107,444052353.836283,617945603.0772331,478883729.111406,367980363.479684,570402004.491755
India,Afghanistan,Import,  All Products,Import (US$ Thousand),21165.583,25937.914,19946.635,17395.736,26913.626,53232.989,54385.499,46610.782,76051.826,133089.093,120522.284,143652.14,120110.694,79744.483,213196.562,243720.758,317719.545,282293.666,413367.828992338,513175.20055391995,494771.923853905,511431.43466430303,560795.840895391
India,Albania,Import,  All Products,Import (US$ Thousand),,36.079,0.294,11.409,15.243,5.647,220.884,36.748,123.895,587.972,269.933,66.847,88086.248,43202.089,162521.062,98055.544,12282.56,8542.579,36458.41344880169,15221.308581841899,61657.4626787402,4494.1888270827,30613.0698582806
India,Algeria,Import,  All Products,Import (US$ Thousand),17151.926,2625.078,1061.182,1261.269,3298.62,6511.38,13349.115,529803.385,1098235.587,1284679.031,620390.229,1891960.767,1949986.245,1079247.453,918835.249,643051.929,289380.824,578207.721,1033465.01202649,1777811.98712801,1988668.90871499,715889.408136082,636613.6148377691
India,American Samoa,Import,  All Products,Import (US$ Thousand),,,,11.03,432.125,53.787,274.958,83827.116,1075.64,187.7,154.284,334.775,1370.034,561.146,430.507,598.351,1212.415,94.358,345.36273592068,1.7772111534400001,2488.85785954925,1558.5766580183001,29.129972854200002
India,Andorra,Import,  All Products,Import (US$ Thousand),,,,0.55,,24.793,,16.886,9.912,94.055,4.044,7.113,34.052,24.822,0.281,14.152,5108.356,88.356,0.7784140185,39.41644880624,34.44987707175,6.476013577200001,
India,Angola,Import,  All Products,Import (US$ Thousand),3.623,,10.896,7162.016,,660.762,2830.007,183066.968,920236.282,1289284.732,3394217.299,4838456.716,6005484.849,8020442.181,6798300.153,5641667.702,3169598.58,2001936.255,4118279.13190179,5576339.79043685,3799563.16519314,2022432.6887421,2315947.56840813
India,Anguila,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,7.07,130.985,,0.227,66.816,5.985,1.141,132.75381578148,301.64297079472,28.8755685575,180.6014065666,95.2671883755
India,Antarctica,Import,  All Products,Import (US$ Thousand),,,,,,,,,,52.723,69.696,57.232,834.454,,,4932.998,1097.721,496.911,12.47972104017,82.95270405008,75.73558475875001,333.6430612177,865.3965840927001
India,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),,6.717,,,454.614,,98.513,112.59,68.455,2.472,84.273,15828.311,147.709,222.921,11.64,395.342,131.934,3.008,23.521581524429998,99.80681563328,232.64871294175,105.0003668299,191.06247041685
