id,name,id,id,metatype
15,Global Economic Monitor,Series,CPTOTNSXN,"[{'id': 'Longdefinition', 'value': 'The consumer price index reflects the change in prices for the average consumer of a constant basket of consumer goods. Data is not seasonally adjusted.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream data.'}]"
,,Series,CPTOTSAXMZGY,"[{'id': 'Longdefinition', 'value': 'Median inflation rate calculated for geographical aggregates (regions, world, etc) of the annual percent change of the CPI. Data is seasonally adjusted.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream data.'}]"
,,Series,CPTOTSAXN,"[{'id': 'Longdefinition', 'value': 'The consumer price index reflects the change in prices for the average consumer of a constant basket of consumer goods. Data is in nominal terms and seasonally adjusted.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream data.'}]"
,,Series,CPTOTSAXNZGY,"[{'id': 'Longdefinition', 'value': 'The consumer price index reflects the change in prices for the average consumer of a constant basket of consumer goods. Data is in nominal percentage terms, measured on a year-on-year basis, and seasonally adjusted.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream data.'}]"
,,Series,DMGSRMRCHNSCD,"[{'id': 'Longdefinition', 'value': 'Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in current US$ millions, not seasonally adjusted.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DMGSRMRCHNSKD,"[{'id': 'Longdefinition', 'value': 'Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in constant US$ millions, not seasonally adjusted. The base year is 2005.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DMGSRMRCHNSXD,"[{'id': 'Longdefinition', 'value': 'The price index of Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in constant US$ millions, not seasonally adjusted. The base year is 2005.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DMGSRMRCHSACD,"[{'id': 'Longdefinition', 'value': 'Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in current US$ millions, seasonally adjusted.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DMGSRMRCHSAKD,"[{'id': 'Longdefinition', 'value': 'Merchandise (goods) exports, cost, insurance and freight basis (c.i.f.), in constant US$ millions, seasonally adjusted. The base year is 2005.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DMGSRMRCHSAXD,"[{'id': 'Longdefinition', 'value': 'The price index of Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in constant US$ millions, seasonally adjusted. The base year is 2005.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DPANUSLCU,"[{'id': 'Longdefinition', 'value': 'Official exchange rate refers to the exchange rate determined by national authorities or to the rate determined in the legally sanctioned exchange market. It is calculated as an annual average based on monthly averages (local currency units relative to the U.S. dollar).'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DPANUSSPB,"[{'id': 'Longdefinition', 'value': ""Local currency units (LCU) per U.S. dollar, with values prior to the currency's introduction presented in the new currency's terms""}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DPANUSSPF,"[{'id': 'Longdefinition', 'value': ""Local currency units (LCU) per U.S. dollar, with values after a new currency's introduction presented in the old currency's terms""}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DSTKMKTXD,"[{'id': 'Longdefinition', 'value': 'Local equity market index valued in US$ terms'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DSTKMKTXN,"[{'id': 'Longdefinition', 'value': 'Local equity market index valued in local currency unit (LCU) terms'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DXGSRMRCHNSCD,"[{'id': 'Longdefinition', 'value': 'Merchandise (goods) exports,  free on board (f.o.b.), in current US$ millions, not seasonally adjusted.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DXGSRMRCHNSKD,"[{'id': 'Longdefinition', 'value': 'Merchandise (goods) exports,  free on board (f.o.b.), in constant US$ millions not seasonally adjusted. The base year is 2005.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DXGSRMRCHNSXD,"[{'id': 'Longdefinition', 'value': 'The price index of Merchandise (goods) exports,  free on board (f.o.b.), in currrent US$ millions. Not seasonally adjusted.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DXGSRMRCHSACD,"[{'id': 'Longdefinition', 'value': 'Merchandise (goods) exports,  free on board (f.o.b.), in current US$ millions, seasonally adjusted.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DXGSRMRCHSAKD,"[{'id': 'Longdefinition', 'value': 'Merchandise (goods) exports,  free on board (f.o.b.), in constant US$ millions, seasonally adjusted. The base year is 2005.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,DXGSRMRCHSAXD,"[{'id': 'Longdefinition', 'value': 'The price index of Merchandise (goods) exports,  free on board (f.o.b.), in US$ seasonally adjusted.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,IMPCOV,"[{'id': 'Longdefinition', 'value': ""The stock of international reserves is expressed as the number of months of financing-coverage it represents for the given country's imports of merchandise goods.""}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream data.'}]"
,,Series,IPTOTNSKD,"[{'id': 'Longdefinition', 'value': 'An economic indicator that measures changes in output for the industrial sector of the economy. The industrial sector includes manufacturing, mining, and utilities. Data is in constant US$, and not seasonally adjusted. The base year is 2005.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream data.'}]"
,,Series,IPTOTSAKD,"[{'id': 'Longdefinition', 'value': 'An economic indicator that measures changes in output for the industrial sector of the economy. The industrial sector includes manufacturing, mining, and utilities. Data is in constant US$, seasonally adjusted. The base year is 2005.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream data.'}]"
,,Series,NEER,"[{'id': 'Longdefinition', 'value': 'A measure of the value of a currency against a weighted average of several foreign currencies'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,REER,"[{'id': 'Longdefinition', 'value': 'Real effective exchange rate is the nominal effective exchange rate (a measure of the value of a currency against a weighted average of several foreign currencies) divided by a price deflator or index of costs.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream and IMF International Finance Statistics data.'}]"
,,Series,TOT,"[{'id': 'Longdefinition', 'value': 'The terms of trade effect equals capacity to import less exports of goods and services.'}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream data.'}]"
,,Series,TOTRESV,"[{'id': 'Longdefinition', 'value': 'Total reserves comprise holdings of monetary gold, special drawing rights, reserves of IMF members held by the IMF, and holdings of foreign exchange under the control of monetary authorities. '}, {'id': 'Source', 'value': 'World Bank staff calculations based on Datastream data.'}]"
